綜合,#genre#
豬哥亮歌廳秀,https://tv.banye.tech:7777/litv/4gtv-4gtv006
Trace Urban,https://tv.banye.tech:7777/litv/4gtv-4gtv082
韓國娛樂台,https://tv.banye.tech:7777/litv/4gtv-4gtv016

少兒,#genre#
靖天映畫台,https://tv.banye.tech:7777/litv/4gtv-4gtv055
靖天卡通台,https://tv.banye.tech:7777/litv/4gtv-4gtv044
龍華卡通台,https://tv.banye.tech:7777/litv/litv-longturn01
靖洋卡通 Nice Bingo,https://tv.banye.tech:7777/litv/4gtv-4gtv057
DreamWorks 夢工廠動畫,https://tv.banye.tech:7777/4gtv/282
Nickelodeon,https://tv.banye.tech:7777/4gtv/185
Nick Jr. 兒童頻道,https://tv.banye.tech:7777/4gtv/219
i-Fun 動漫台,https://tv.banye.tech:7777/litv/litv-ftv15
兒童卡通台,https://tv.banye.tech:7777/4gtv/269
精選動漫台,https://tv.banye.tech:7777/4gtv/204
經典卡通台,https://tv.banye.tech:7777/4gtv/202
達文西頻道,https://tv.banye.tech:7777/litv/4gtv-4gtv018
超人力霸王整套看,https://tv.banye.tech:7777/4gtv/278
MOMO 親子台,https://tv.banye.tech:7777/4gtv/231
LiveABC 互動英語台,https://tv.banye.tech:7777/4gtv/188

其他,#genre#
TVBS,https://tv.banye.tech:7777/litv/4gtv-4gtv073
History 歷史頻道,https://tv.banye.tech:7777/4gtv/214
CI 罪案偵查頻道,https://tv.banye.tech:7777/4gtv/215
Smart 知識台,https://tv.banye.tech:7777/litv/litv-longturn19
視納華仁紀實頻道,https://tv.banye.tech:7777/litv/4gtv-4gtv013
原住民族電視台,https://tv.banye.tech:7777/4gtv/273
客家電視台,https://tv.banye.tech:7777/litv/4gtv-4gtv043
滾動力 Rollor,https://tv.banye.tech:7777/4gtv/249
好消息,https://tv.banye.tech:7777/litv/litv-ftv16
好消息2台,https://tv.banye.tech:7777/litv/litv-ftv17
大愛電視,https://tv.banye.tech:7777/4gtv/209
大愛電視2,https://tv.banye.tech:7777/4gtv/230
人間衛視,https://tv.banye.tech:7777/4gtv/210
國會頻道1,https://tv.banye.tech:7777/litv/4gtv-4gtv084
國會頻道2,https://tv.banye.tech:7777/litv/4gtv-4gtv085
東森購物一台,https://tv.banye.tech:7777/4gtv/173
東森購物二台,https://tv.banye.tech:7777/4gtv/174
東森購物三台,https://tv.banye.tech:7777/4gtv/287
東森購物四台,https://tv.banye.tech:7777/4gtv/286

體育,#genre#
博斯運動一台,https://tv.banye.tech:7777/litv/litv-longturn07
博斯運動二台,https://tv.banye.tech:7777/litv/litv-longturn08
博斯無限台,https://tv.banye.tech:7777/litv/litv-longturn10
博斯無限二台,https://tv.banye.tech:7777/litv/litv-longturn13
博斯網球台,https://tv.banye.tech:7777/litv/litv-longturn09
博斯高球台,https://tv.banye.tech:7777/litv/litv-longturn05
博斯高球二台,https://tv.banye.tech:7777/litv/litv-longturn06
博斯魅力台,https://tv.banye.tech:7777/litv/litv-longturn04
GINX Esports TV,https://tv.banye.tech:7777/litv/4gtv-4gtv053
TechStorm,https://tv.banye.tech:7777/4gtv/181
時尚運動X,https://tv.banye.tech:7777/4gtv/277
智林體育台,https://tv.banye.tech:7777/litv/4gtv-4gtv101
TraceSports,https://tv.banye.tech:7777/litv/4gtv-4gtv077

4gtv網頁嗅探,#genre#
parse=1
1 民視第一台,https://www.4gtv.tv/channel/4gtv-4gtv003?set=1&ch=1
2 民視台灣台,https://www.4gtv.tv/channel/4gtv-4gtv001?set=1&ch=2
3 民視,https://www.4gtv.tv/channel/4gtv-4gtv002?set=1&ch=3
4 大愛電視,https://www.4gtv.tv/channel/4gtv-live007?set=1&ch=209
5 中視,https://www.4gtv.tv/channel/4gtv-4gtv040?set=1&ch=4
6 中視經典台,https://www.4gtv.tv/channel/4gtv-4gtv080?set=1&ch=124
7 華視,https://www.4gtv.tv/channel/4gtv-4gtv041?set=1&ch=6
8 三立綜合台,https://www.4gtv.tv/channel/4gtv-live207?set=1&ch=169
9 客家電視台,https://www.4gtv.tv/channel/4gtv-4gtv043?set=1&ch=107
10 八大綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv039?set=1&ch=114
11 中視菁采台,https://www.4gtv.tv/channel/4gtv-4gtv064?set=1&ch=123
12 TVBS精采台,https://www.4gtv.tv/channel/4gtv-4gtv067?set=1&ch=227
13 愛爾達娛樂台,https://www.4gtv.tv/channel/4gtv-4gtv070?set=1&ch=19
14 靖天綜合台,https://www.4gtv.tv/channel/4gtv-4gtv046?set=1&ch=21
15 靖天日本台,https://www.4gtv.tv/channel/4gtv-4gtv047?set=1&ch=22
16 新唐人亞太台,https://www.4gtv.tv/channel/4gtv-live050?set=1&ch=223
17 ARIRANG阿里郎頻道,https://www.4gtv.tv/channel/4gtv-4gtv079?set=1&ch=189
18 Global Trekker,https://www.4gtv.tv/channel/4gtv-live112?set=1&ch=252
19 原住民族電視台,https://www.4gtv.tv/channel/4gtv-live014?set=1&ch=273
20 Smart知識台,https://www.4gtv.tv/channel/litv-longturn19?set=1&ch=297
21 東森購物四台,https://www.4gtv.tv/channel/4gtv-live049?set=1&ch=286
22 LiveABC互動英語頻道,https://www.4gtv.tv/channel/4gtv-live030?set=1&ch=188
23 達文西頻道,https://www.4gtv.tv/channel/4gtv-4gtv018?set=1&ch=11
24 ELTV生活英語台,https://www.4gtv.tv/channel/litv-longturn20?set=1&ch=106
25 Nick Jr. 兒童頻道,https://www.4gtv.tv/channel/4gtv-live032?set=1&ch=219
26 尼克兒童頻道,https://www.4gtv.tv/channel/4gtv-live105?set=1&ch=185
27 DreamWorks 夢工廠動畫,https://www.4gtv.tv/channel/4gtv-live017?set=1&ch=282
28 靖天卡通台,https://www.4gtv.tv/channel/4gtv-4gtv044?set=1&ch=15
29 靖洋卡通Nice Bingo,https://www.4gtv.tv/channel/4gtv-4gtv057?set=1&ch=59
30 i-Fun動漫台,https://www.4gtv.tv/channel/litv-ftv15?set=1&ch=60
31 龍華卡通台,https://www.4gtv.tv/channel/litv-longturn01?set=1&ch=295
32 MOMO親子台,https://www.4gtv.tv/channel/4gtv-live107?set=1&ch=231
33 東森購物一台,https://www.4gtv.tv/channel/4gtv-live047?set=1&ch=173
34 鏡電視新聞台,https://www.4gtv.tv/channel/4gtv-4gtv075?set=1&ch=268
35 東森新聞台,https://www.4gtv.tv/channel/4gtv-4gtv152?set=1&ch=292
36 華視新聞,https://www.4gtv.tv/channel/4gtv-4gtv052?set=1&ch=34
37 民視新聞台,https://www.4gtv.tv/channel/litv-ftv13?set=1&ch=31
38 三立新聞iNEWS,https://www.4gtv.tv/channel/4gtv-live089?set=1&ch=229
39 TVBS新聞,https://www.4gtv.tv/channel/4gtv-4gtv072?set=1&ch=291
40 東森財經新聞台,https://www.4gtv.tv/channel/4gtv-4gtv153?set=1&ch=293
41 中視新聞,https://www.4gtv.tv/channel/4gtv-4gtv074?set=1&ch=33
42 中天新聞台,https://www.4gtv.tv/channel/4gtv-4gtv009?set=1&ch=30
43 Bloomberg TV,https://www.4gtv.tv/channel/4gtv-live059?set=1&ch=283
44 寰宇新聞台,https://www.4gtv.tv/channel/litv-longturn14?set=1&ch=36
45 寰宇新聞台灣台,https://www.4gtv.tv/channel/litv-longturn15?set=1&ch=280
46 SBN全球財經台,https://www.4gtv.tv/channel/4gtv-live060?set=1&ch=224
47 寰宇財經台,https://www.4gtv.tv/channel/litv-longturn23?set=1&ch=281
48 TVBS,https://www.4gtv.tv/channel/4gtv-4gtv073?set=1&ch=183
49 東森購物二台,https://www.4gtv.tv/channel/4gtv-live046?set=1&ch=174
50 民視綜藝台,https://www.4gtv.tv/channel/4gtv-4gtv004?set=1&ch=16
51 豬哥亮歌廳秀,https://www.4gtv.tv/channel/4gtv-4gtv006?set=1&ch=113
52 靖天育樂台,https://www.4gtv.tv/channel/4gtv-4gtv062?set=1&ch=83
53 KLT-靖天國際台,https://www.4gtv.tv/channel/4gtv-4gtv063?set=1&ch=84
54 Nice TV 靖天歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv054?set=1&ch=119
55 靖天資訊台,https://www.4gtv.tv/channel/4gtv-4gtv065?set=1&ch=88
56 TVBS歡樂台,https://www.4gtv.tv/channel/4gtv-4gtv068?set=1&ch=184
57 韓國娛樂台 KMTV,https://www.4gtv.tv/channel/4gtv-live377?set=1&ch=76
58 ROCK Entertainment,https://www.4gtv.tv/channel/4gtv-live080?set=1&ch=275
59 Lifetime 娛樂頻道,https://www.4gtv.tv/channel/4gtv-live029?set=1&ch=217
60 電影原聲台CMusic,https://www.4gtv.tv/channel/4gtv-live031?set=1&ch=218
61 TRACE Urban,https://www.4gtv.tv/channel/4gtv-4gtv082?set=1&ch=78
62 MTV Live HD 音樂頻道,https://www.4gtv.tv/channel/4gtv-live025?set=1&ch=213
63 Mezzo Live HD,https://www.4gtv.tv/channel/4gtv-4gtv083?set=1&ch=79
64 CLASSICA 古典樂,https://www.4gtv.tv/channel/4gtv-4gtv059?set=1&ch=80
65 東森購物三台,https://www.4gtv.tv/channel/4gtv-live048?set=1&ch=287
66 博斯高球台,https://www.4gtv.tv/channel/litv-longturn05?set=1&ch=48
67 博斯高球二台,https://www.4gtv.tv/channel/litv-longturn06?set=1&ch=298
68 博斯運動一台,https://www.4gtv.tv/channel/litv-longturn07?set=1&ch=50
69 博斯無限台,https://www.4gtv.tv/channel/litv-longturn10?set=1&ch=51
70 博斯網球台,https://www.4gtv.tv/channel/litv-longturn09?set=1&ch=52
71 博斯運動二台,https://www.4gtv.tv/channel/litv-longturn08?set=1&ch=299
72 博斯魅力台,https://www.4gtv.tv/channel/litv-longturn04?set=1&ch=300
73 TRACE Sport Stars,https://www.4gtv.tv/channel/4gtv-4gtv077?set=1&ch=57
74 智林體育台,https://www.4gtv.tv/channel/4gtv-4gtv101?set=1&ch=58
75 時尚運動X,https://www.4gtv.tv/channel/4gtv-4gtv014?set=1&ch=69
76 車迷TV,https://www.4gtv.tv/channel/4gtv-live201?set=1&ch=160
77 GINX Esports TV,https://www.4gtv.tv/channel/4gtv-4gtv053?set=1&ch=179
78 Pet Club TV,https://www.4gtv.tv/channel/4gtv-live110?set=1&ch=182
79 民視旅遊台,https://www.4gtv.tv/channel/litv-ftv07?set=1&ch=61
80 滾動力rollor,https://www.4gtv.tv/channel/4gtv-live012?set=1&ch=249
81 亞洲旅遊台,https://www.4gtv.tv/channel/litv-longturn17?set=1&ch=250
82 fun探索娛樂台,https://www.4gtv.tv/channel/4gtv-live011?set=1&ch=274
83 幸福空間居家台,https://www.4gtv.tv/channel/4gtv-live206?set=1&ch=168
84 Love Nature,https://www.4gtv.tv/channel/4gtv-live208?set=1&ch=139
85 History 歷史頻道,https://www.4gtv.tv/channel/4gtv-live026?set=1&ch=214
86 愛爾達生活旅遊台,https://www.4gtv.tv/channel/4gtv-live120?set=1&ch=237
87 LUXE TV Channel,https://www.4gtv.tv/channel/4gtv-live121?set=1&ch=175
88 TV5MONDE STYLE HD 生活時尚,https://www.4gtv.tv/channel/4gtv-live122?set=1&ch=178
89 龍華偶像台,https://www.4gtv.tv/channel/litv-longturn12?set=1&ch=296
90 公視戲劇,https://www.4gtv.tv/channel/4gtv-4gtv042?set=1&ch=7
91 民視影劇台,https://www.4gtv.tv/channel/litv-ftv09?set=1&ch=24
92 龍華戲劇台,https://www.4gtv.tv/channel/litv-longturn18?set=1&ch=23
93 HITS頻道,https://www.4gtv.tv/channel/4gtv-live620?set=1&ch=186
